,Breakdown,Ticker,Company,Total Revenue,Operating Revenue,Cost of Revenue,Gross Profit,Operating Expense,Selling General and Administrative,General & Administrative Expense,Other G and A,Selling & Marketing Expense,Research & Development,Other Operating Expenses,Operating Income,Net Non Operating Interest Income Expense,Interest Income Non Operating,Interest Expense Non Operating,Other Income Expense,Gain on Sale of Security,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Other Finance Cost,Earnings from Equity Interest,Special Income Charges,Other Special Charges,Net Income Discontinuous Operations,Otherunder Preferred Stock Dividend,Average Dilution Earnings,Depreciation Amortization Depletion,Depreciation & amortization,Gain on Sale of Business,Minority Interests,Amortization,Amortization of Intangibles,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Preferred Stock Dividends,Write Off
4,12/31/2017,SPOT,Spotify Technology S.A.,"4,090,000","4,090,000","3,241,000","849,000","1,227,000","831,000","264,000","264,000","567,000","396,000",,"-378,000","17,000","19,000","4,000","-872,000","-349,000","-524,000","-1,233,000","2,000",,"-711,000","-1,235,000","-1,235,000","-1,235,000","-711,000",-0.0043,-0.0043,"166,147","166,147","-378,000","4,468,000","-1,235,000","-1,025,600","19,000","4,000","17,000","-1,229,000",,"3,241,000","54,000","-1,235,000","-349,000","-349,000","-826,000",0,"-139,600","-2,000","1,000",,,,"-524,000",,,,,,,,,,,
5,12/31/2016,SPOT,Spotify Technology S.A.,"2,952,000","2,952,000","2,551,000","401,000","750,000","543,000","175,000","175,000","368,000","207,000",,"-349,000",0,"5,000","5,000","-186,000","61,000","-245,000","-535,000","4,000",,"-539,000","-539,000","-539,000","-539,000","-539,000",-0.0032,-0.0032,"167,779","167,779","-349,000","3,301,000","-539,000","-575,600","5,000","5,000",0,"-530,000",,"2,551,000","38,000","-539,000","61,000","61,000","-553,000",0,"24,400",,"-2,000",,,,,0,,,,,,,,,,
1,TTM,W,Wayfair Inc.,"9,512,291","9,512,291","7,256,292","2,255,999","3,254,374","3,254,374","502,037","502,037","2,752,337",,,"-998,375","-67,494",,,-443,,-443,"-1,066,312","3,748",,"-1,070,060","-1,070,060","-1,070,060","-1,070,060","-1,070,060",,,,,"-998,375","10,510,666","-1,070,060","-1,070,060",,,"-67,494","-1,001,699","-782,020","7,256,292","219,679","-1,070,060",,,"-782,020",0,0,,,,,,,,,,,,,,,,,
2,12/31/2019,W,Wayfair Inc.,"9,127,057","9,127,057","6,979,725","2,147,332","3,077,273","3,077,273","356,727","356,727","2,720,546",,,"-929,941","-54,514",,,"2,881",,"2,881","-981,574","3,010",,"-984,584","-984,584","-984,584","-984,584","-984,584",-0.0107,-0.0107,"92,200","92,200","-929,941","10,056,998","-984,584","-984,584",,,"-54,514","-929,941",,"6,979,725","192,419","-984,584",,,"-737,522",0,0,"54,514",,,,,,,,,,,,,,,,
3,12/31/2018,W,Wayfair Inc.,"6,779,174","6,718,079","5,192,451","1,586,723","2,060,002","2,060,002","1,285,813","1,285,813","774,189",,,"-473,279","-28,560",,,-204,,-204,"-502,043","2,037",,"-504,080","-504,080","-504,080","-504,080","-504,080",-0.0056,-0.0056,"89,472","89,472","-473,279","7,252,453","-504,080","-504,080",,,"-28,560","-473,279",,"5,192,451","123,542","-504,080",,,"-349,737",0,0,"28,560",,,,,,,,,,,,,,,,
4,12/31/2017,W,Wayfair Inc.,"4,720,895","4,643,243","3,602,072","1,118,823","1,354,276","1,354,276","804,317","804,317","549,959",,,"-235,453","-9,433",,,758,,758,"-244,128",486,,"-244,614","-244,614","-244,614","-244,614","-244,614",-0.0028,-0.0028,"86,983","86,983","-235,453","4,956,348","-244,614","-244,614",,,"-9,433","-235,453",,"3,602,072","87,020","-244,614",,,"-148,433",0,0,"9,433",,,,,,,,,,,,,,,,
5,12/31/2016,W,Wayfair Inc.,"3,380,360","3,258,909","2,572,549","807,811","1,004,028","1,004,028","417,368","417,368","586,660",,,"-196,217",694,,,"1,756",,"1,756","-193,767",608,,"-194,375","-194,375","-194,375","-194,375","-194,375",-0.0023,-0.0023,"84,977","84,977","-196,217","3,576,577","-194,375","-194,375",,,694,"-196,217",,"2,572,549","55,572","-194,375",,,"-140,645",0,0,-694,,,,,0,,,,,,,,,,,
1,TTM,GRUB,Grubhub Inc.,"1,351,361","1,351,361","848,002","503,359","564,390","440,667","118,080","118,080","322,587",,,"-61,031","-24,061",,"24,061",,,,"-85,092","-26,209",,"-58,883","-58,883","-58,883","-58,883","-58,883",,,,,"-61,031","1,412,392","-58,883","-58,883",,"24,061","-24,061","-61,031","62,692","848,002","123,723","-58,883",,,"62,692",0,0,,,,,,,,"123,723","123,723",,,,,,,,
2,12/31/2019,GRUB,Grubhub Inc.,"1,312,151","1,312,151","790,768","521,383","527,666","412,217","101,918","101,918","310,299",,,"-6,283","-20,493",,"20,493",,,,"-26,776","-8,210",,"-18,566","-18,566","-18,566","-18,566","-18,566",0,0,"91,247","91,247","-6,283","1,318,434","-18,566","-18,566",,"20,493","-20,493","-6,283",,"790,768","115,449","-18,566",,,"109,166",0,0,"20,493",,,,,,,"115,449","115,449",,,,,,,,
3,12/31/2018,GRUB,Grubhub Inc.,"1,007,257","1,007,257","536,599","470,658","385,695","299,755","85,465","85,465","214,290",,,"84,963","-3,530",,"3,530",,,,"81,433","2,952",,"78,481","78,481","78,481","78,481","78,481",0,0,"89,447","92,354","84,963","922,294","78,481","78,481",,"3,530","-3,530","84,963",,"536,599","85,940","78,481",,,"170,903",0,0,"3,530",,,,,,,"85,940","85,940",,,,,,,,
4,12/31/2017,GRUB,Grubhub Inc.,"683,067","683,067","325,716","357,351","267,601","215,753","65,023","65,023","150,730",,,"89,750",-102,,,,,,"89,648","-9,335",,"98,983","98,983","98,983","98,983","98,983",0.0012,0.0011,"86,297","88,182","89,750","593,317","98,983","98,983",,,-102,"89,750",,"325,716","51,848","98,983",,,"141,598",0,0,102,,,,,,,"51,848","51,848",,,,,,,,
5,12/31/2016,GRUB,Grubhub Inc.,"493,331","493,331","214,210","279,121","195,269","160,076","49,753","49,753","110,323",,,"83,852",,,,,,,"83,852","34,295",,"49,557","49,557","49,557","49,557","49,557",0,0,"85,069","86,135",,"409,479","49,557","49,557",,,,"83,852",,"214,210","35,193","49,557",,,"119,045",0,0,,,,,,,,"35,193","35,193",,,,,,,,
1,TTM,INTU,Intuit Inc.,"6,857,000","6,857,000","1,337,000","5,520,000","3,980,000","2,641,000","636,000","636,000","2,005,000","1,332,000",,"1,540,000","42,000","52,000","10,000","-7,000",,"-7,000","1,575,000","238,000",,"1,337,000","1,337,000","1,337,000","1,337,000","1,337,000",,,,,"1,540,000","5,317,000","1,337,000","1,337,000","52,000","10,000","42,000","1,585,000","1,812,000","1,117,000","227,000","1,337,000",,,"1,812,000",0,0,,,,,,,,"7,000","7,000",,,"7,000","7,000",,,,
2,7/31/2019,INTU,Intuit Inc.,"6,784,000","6,784,000","1,167,000","5,617,000","3,763,000","2,524,000","597,000","597,000","1,927,000","1,233,000",,"1,854,000","31,000","46,000","15,000","-4,000","3,000","-4,000","1,881,000","324,000",,"1,557,000","1,557,000","1,557,000","1,557,000","1,557,000",0.006,0.0059,"260,000","264,000","1,854,000","4,930,000","1,557,000","1,557,000","46,000","15,000","31,000","1,896,000",,"948,000","225,000","1,557,000","3,000","3,000","2,121,000",0,0,,,,,,,,"6,000","6,000",,,"6,000","6,000",,,,
3,7/31/2018,INTU,Intuit Inc.,"5,964,000","5,964,000","977,000","4,987,000","3,490,000","2,298,000","664,000","664,000","1,634,000","1,186,000",,"1,497,000","-2,000","18,000","20,000","8,000","7,000","8,000","1,503,000","292,000",,"1,211,000","1,211,000","1,211,000","1,211,000","1,211,000",0.0047,0.0046,"256,000","261,000","1,497,000","4,467,000","1,211,000","1,211,000","18,000","20,000","-2,000","1,523,000",,"730,000","253,000","1,211,000","7,000","7,000","1,776,000",0,0,,,,,0,,,"6,000","6,000",,,"6,000","6,000",,,,
4,7/31/2017,INTU,Intuit Inc.,"5,177,000","5,177,000","809,000","4,368,000","2,973,000","1,973,000","553,000","553,000","1,420,000","998,000",,"1,395,000","-23,000","8,000","31,000","-5,000","7,000","-5,000","1,367,000","396,000",,"971,000","971,000","971,000","971,000","971,000",0.0038,0.0037,"257,000","261,000","1,395,000","3,782,000","971,000","971,000","8,000","31,000","-23,000","1,398,000",,"575,000","236,000","971,000",0,0,"1,634,000",0,0,,,0,,0,,,"2,000","2,000",,,"2,000","2,000",,0,,
5,7/31/2016,INTU,Intuit Inc.,"4,694,000","4,694,000","752,000","3,942,000","2,700,000","1,807,000","518,000","518,000","1,289,000","881,000",,"1,242,000","-32,000","3,000","35,000","-7,000",,"-7,000","1,203,000","397,000",,"979,000","979,000","979,000","806,000","979,000",0.0037,0.0037,"262,000","265,000","1,242,000","3,452,000","979,000","806,000","3,000","35,000","-32,000","1,238,000",,"526,000","238,000","806,000",0,0,"1,476,000",0,0,,,0,,"173,000",,,"12,000","12,000",,,"12,000","12,000",,0,,
1,TTM,IQ,"iQIYI, Inc.","29,653,505","25,991,684","30,974,010","-1,320,505","8,153,208","5,405,999",,,,"2,747,209",,"-9,473,713","-647,512","393,642","1,041,154","-1,159,171","-830,667",,"-11,280,396","49,250",,"-11,387,254","-11,383,995","-11,329,646","-11,329,646","-11,387,254",,,,,"-9,473,713","39,127,218","-11,383,995","-10,760,995","393,642","1,041,154","-647,512","-10,239,242","-10,239,242","30,974,010",,"-11,383,995","-830,667","-830,667","-9,408,575",0,"-207,667",,"-217,376",,,,,,,,,"-54,349",,,,,,
2,12/31/2019,IQ,"iQIYI, Inc.","28,993,658","25,250,432","30,348,342","-1,354,684","7,903,153","5,236,007",,,,"2,667,146",,"-9,257,837","-512,226","402,145","914,371","-454,824","-190,210",,"-10,224,887","51,852",,"-10,324,871","-10,323,329","-10,276,739","-10,276,739","-10,324,871",-0.0141,-0.0141,"729,269","729,269","-9,257,837","38,251,495","-10,323,329","-10,098,516","402,145","914,371","-512,226","-9,310,516",,"30,348,342","17,169,332","-10,323,329","-299,751","-299,751","8,158,567",0,"-74,938",,"-155,073","-109,541",,,"1,542",,,,,"-46,590",,,,,,
